longitude,latitude,station,value,area,purpose,height,color,areatype,datatype
139.68123,35.59069,雪が谷大塚・330,63.3,353,店舗兼共同住宅,633,5,business,price
139.68929,35.58179,久が原・240,65.5,254,店舗、車庫兼共同住宅,655,5,business,price
139.72089,35.55795,蒲田・650,74.0,246,店舗、事務所兼共同住宅,740,5,business,price
139.72812,35.56768,梅屋敷・90,67.7,85,店舗兼事務所,677,5,business,price
139.69781,35.60094,長原（近接）,63.5,88,店舗,635,5,business,price
139.69249,35.56734,武蔵新田・100,60.1,99,店舗兼住宅,601,4,business,price
139.70992,35.59840,馬込・430,61.1,153,店舗、倉庫兼共同住宅,611,4,business,price
139.71098,35.56247,蒲田・430,77.2,117,店舗兼事務所,772,5,business,price
139.70410,35.56993,池上（近接）,93.3,134,店舗兼共同住宅,933,6,business,price
139.74361,35.56254,大鳥居・1600,37.8,74,店舗兼住宅,378,2,business,price
139.72763,35.57152,大森町・200,54.3,171,店舗、住宅兼共同住宅,543,4,business,price
139.70930,35.58850,西馬込・70,67.1,316,店舗、事務所兼作業場等,671,5,business,price
139.76750,35.57047,昭和島・1900,27.8,1320,作業所兼事務所,278,2,,price
139.74739,35.58359,流通センター・540,43.9,826,工場兼事務所,439,3,,price
139.63882,35.65839,松原・340,64.3,204,住宅,643,5,residence,price
139.64923,35.64143,世田谷・500,56.0,196,住宅,560,4,residence,price
139.64297,35.62889,桜新町・210,68.5,139,住宅,685,5,residence,price
139.64378,35.60831,等々力・500,64.9,201,住宅,649,5,residence,price
139.65826,35.63478,駒沢大学・600,62.5,215,住宅,625,4,residence,price
139.65755,35.65442,梅ヶ丘・460,63.9,165,住宅,639,5,residence,price
139.65259,35.65462,梅ヶ丘・350,64.8,169,住宅,648,5,residence,price
139.64818,35.65364,豪徳寺・300,57.8,142,住宅,578,4,residence,price
139.63548,35.64946,経堂・410,61.1,162,住宅,611,4,residence,price
139.64153,35.65525,経堂・450,67.5,148,住宅,675,5,residence,price
139.66243,35.65696,世田谷代田・300,71.5,144,住宅,715,5,residence,price
139.66927,35.67042,笹塚・460,59.0,124,共同住宅,590,4,residence,price
139.64844,35.66670,明大前・550,61.2,151,住宅,612,4,residence,price
139.61913,35.65461,千歳船橋・1000,49.9,256,住宅,499,3,residence,price
139.62585,35.66225,上北沢・800,48.4,200,住宅,484,3,residence,price
139.61583,35.66661,八幡山・300,49.6,158,住宅,496,3,residence,price
139.65617,35.60882,尾山台・300,70.5,345,空地,705,5,residence,price
139.67401,35.63523,学芸大学・1200,66.7,231,住宅,667,5,residence,price
139.63823,35.63691,上町・890,59.6,225,住宅,596,4,residence,price
139.61507,35.62592,用賀・1800,48.8,245,住宅,488,3,residence,price
139.68016,35.64962,池尻大橋・450,65.9,82,住宅,659,5,residence,price
139.62656,35.62011,用賀・1100,63.5,165,住宅,635,5,residence,price
139.66289,35.62112,駒沢大学・1900,61.9,223,住宅,619,4,residence,price
139.67459,35.59573,田園調布・730,62.4,152,住宅,624,4,residence,price
139.67220,35.65093,三軒茶屋・730,65.3,88,住宅,653,5,residence,price
139.61862,35.62189,二子玉川・1300,48.1,171,住宅,481,3,residence,price
139.62991,35.62433,用賀・500,65.0,99,住宅,650,5,residence,price
139.62904,35.63643,用賀・1000,61.0,99,住宅,610,4,residence,price
139.64735,35.62257,桜新町・1400,64.5,161,住宅,645,5,residence,price
139.59697,35.65112,成城学園前・1400,47.0,125,住宅,470,3,residence,price
139.65430,35.62833,桜新町・1000,65.0,174,住宅,650,5,residence,price
139.61282,35.63717,祖師ヶ谷大蔵・780,49.4,102,住宅,494,3,residence,price
139.59592,35.65464,仙川・1400,41.6,173,住宅,416,3,residence,price
139.61084,35.65179,祖師ヶ谷大蔵・1300,43.5,231,住宅,435,3,residence,price
139.68275,35.63974,祐天寺・950,66.5,109,住宅,665,5,residence,price
139.61127,35.64510,祖師ヶ谷大蔵・260,53.8,114,住宅,538,4,residence,price
139.59103,35.67015,千歳烏山・1000,41.7,157,住宅,417,3,residence,price
139.60487,35.67655,芦花公園・700,45.1,213,住宅,451,3,residence,price
139.61684,35.66149,八幡山・1200,44.2,125,住宅,442,3,residence,price
139.58653,35.67268,仙川・1400,35.0,115,住宅,350,2,residence,price
139.59468,35.62891,喜多見・1700,29.8,129,住宅,298,2,residence,price
139.65706,35.60141,九品仏・760,63.1,217,住宅,631,5,residence,price
139.59895,35.63824,成城学園前・240,76.0,186,住宅,760,5,residence,price
139.63495,35.62070,用賀・930,60.0,190,共同住宅,600,4,residence,price
139.64227,35.63224,桜新町・430,81.2,1876,共同住宅,812,6,residence,price
139.66536,35.64170,三軒茶屋・390,160.0,140,店舗、事務所兼住宅等,1600,7,business,price
139.66261,35.66031,新代田（近接）,68.5,202,事務所兼共同住宅,685,5,business,price
139.62840,35.61415,二子玉川・180,222.0,406,店舗、事務所兼共同住宅,2220,8,business,price
139.63727,35.64043,上町・950,64.3,89,店舗兼共同住宅,643,5,business,price
139.65898,35.60371,九品仏・90,76.5,146,店舗兼共同住宅,765,5,business,price
139.65259,35.65462,梅ヶ丘・70,78.3,110,店舗兼住宅,783,5,business,price
139.61127,35.64510,祖師ヶ谷大蔵・280,75.6,98,店舗兼共同住宅,756,5,business,price
139.66783,35.66196,下北沢・300,154.0,370,店舗兼住宅,1540,7,business,price
139.64818,35.65364,豪徳寺・100,77.3,115,店舗、事務所兼住宅,773,5,business,price
139.65221,35.60562,尾山台（近接）,88.0,63,店舗兼住宅,880,6,business,price
139.64923,35.64143,松陰神社前・300,71.5,115,事務所兼共同住宅,715,5,business,price
139.59895,35.63824,成城学園前・100,91.7,106,店舗,917,6,business,price
139.62090,35.66973,八幡山・470,62.4,351,事務所兼共同住宅,624,4,business,price
139.64027,35.66300,下高井戸・100,79.5,99,店舗兼住宅,795,6,business,price
139.66711,35.63244,駒沢大学・550,72.0,220,店舗兼共同住宅,720,5,business,price
139.59773,35.66933,千歳烏山・180,71.6,101,店舗,716,5,business,price
139.71008,35.67029,表参道・640,142.0,209,住宅,1420,7,residence,price
139.70955,35.68007,千駄ケ谷・290,120.0,181,住宅,1200,7,residence,price
139.70032,35.64864,代官山・480,131.0,251,住宅,1310,7,residence,price
139.69496,35.68307,南新宿・500,100.0,235,住宅,1000,6,residence,price
139.68311,35.68055,初台・400,66.0,144,住宅兼共同住宅,660,5,residence,price
139.67580,35.66914,代々木上原・470,109.0,534,住宅兼車庫,1090,6,residence,price
139.67879,35.67100,代々木上原・250,102.0,425,住宅,1020,6,residence,price
139.69011,35.66724,代々木公園・550,93.0,239,住宅,930,6,residence,price
139.70815,35.64420,恵比寿・400,118.0,121,住宅,1180,7,residence,price
139.70737,35.65496,渋谷・810,104.0,189,住宅,1040,6,residence,price
139.71855,35.64875,広尾・180,172.0,94,店舗兼共同住宅,1720,7,business,price
139.71199,35.64670,恵比寿・110,358.0,192,店舗、事務所兼共同住宅,3580,8,business,price
139.70116,35.66298,渋谷・250,1290.0,317,店舗兼事務所,12900,9,business,price
139.69832,35.65940,渋谷・300,1300.0,207,店舗兼事務所,13000,9,business,price
139.70726,35.66076,渋谷・600,553.0,184,店舗兼事務所,5530,9,business,price
139.69832,35.65728,渋谷・570,490.0,119,店舗、事務所兼住宅,4900,9,business,price
139.70540,35.65780,渋谷・360,529.0,171,店舗兼事務所,5290,9,business,price
139.70345,35.68658,新宿・430,680.0,1275,店舗、事務所兼駐車場,6800,9,business,price
139.67422,35.67706,幡ヶ谷・250,135.0,176,店舗兼共同住宅,1350,7,business,price
139.69487,35.65763,神泉・80,135.0,142,店舗、診療所兼共同住宅,1350,7,business,price
139.70338,35.65725,渋谷（近接）,445.0,1652,事務所,4450,9,business,price
139.68736,35.68067,初台（近接）,130.0,115,店舗、事務所兼住宅,1300,7,business,price
139.68239,35.67044,代々木上原・300,121.0,89,店舗兼住宅,1210,7,business,price
139.69011,35.66724,代々木公園・80,146.0,92,店舗、事務所兼住宅,1460,7,business,price
139.69891,35.68251,代々木・320,147.0,91,店舗兼事務所,1470,7,business,price
139.70360,35.67178,原宿・80,475.0,115,店舗、事務所兼住宅,4750,9,business,price
139.64104,35.72442,鷺ノ宮・320,45.4,167,住宅,454,3,residence,price
139.65216,35.70932,高円寺・750,47.8,159,住宅,478,3,residence,price
139.67355,35.73264,新江古田・300,46.9,217,寄宿舎,469,3,residence,price
139.67705,35.71385,新井薬師前・620,47.6,101,住宅,476,3,residence,price
139.66417,35.69562,新中野・450,55.8,215,住宅,558,4,residence,price
139.66389,35.68460,方南町・700,50.0,85,住宅,500,3,residence,price
139.67534,35.69840,新中野・720,62.9,92,住宅,629,4,residence,price
